new_column3,new_column2,new_column,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,performance
4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,23.546
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,87.212
2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,46.012
3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,31.444
4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,31.65
1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,117.91
2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62.598
3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,43.274
4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,42.854
1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,157.852
2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,84.094
3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,58.876
4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,23.47
1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,87.288
2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,46.128
3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,31.206
4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,31.816
1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,118.142
2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62.532
3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,43.57
4.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,43.26
1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,157.898
2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,84.032
3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,58.714
4.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,23.416
1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,87.206
2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,46.24
3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,31.464
4.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,31.73
1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,118.508
2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62.674
3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,43.294
4.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,42.686
1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,157.894
2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,84.078
3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,58.82
4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,23.102
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,86.792
2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,45.928
3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,31.164
4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,31.514
1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,117.588
2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,62.468
